well,eggs,juvs,treatment,t
B2,70,13,1%EtOH,0
B3,53,6,1%EtOH,0
B4,65,8,1%EtOH,0
B5,44,6,1%EtOH,0
B6,45,6,1%EtOH,0
B7,66,5,water,0
B8,61,5,water,0
B9,69,9,water,0
B10,93,9,water,0
B11,96,6,water,0
C2,78,10,PRE,0
C3,81,12,PRE,0
C4,108,9,PRE,0
C5,96,7,PRE,0
C6,68,4,PRE,0
C7,79,13,Sol_8nM,0
C8,74,9,Sol_8nM,0
C9,76,5,Sol_8nM,0
C10,56,9,Sol_8nM,0
C11,93,2,Sol_8nM,0
D2,66,12,solA4nM,0
D3,85,7,solA4nM,0
D4,80,10,solA4nM,0
D5,98,14,solA4nM,0
D6,85,8,solA4nM,0
D7,95,8,solA2nM,0
D8,90,9,solA2nM,0
D9,91,9,solA2nM,0
D10,85,11,solA2nM,0
D11,141,6,solA2nM,0
E2,112,14,solA1nM,0
E3,75,4,solA1nM,0
E4,79,8,solA1nM,0
E5,84,8,solA1nM,0
E6,93,13,solA1nM,0
E7,82,7,solA0.5nM,0
E8,110,12,solA0.5nM,0
E9,89,5,solA0.5nM,0
E10,82,8,solA0.5nM,0
E11,146,18,solA0.5nM,0
F2,102,8,TRE,0
F3,115,13,TRE,0
F4,109,11,TRE,0
F5,86,8,TRE,0
F6,122,9,TRE,0
B2,NA,13,1%EtOH,1
B3,NA,6,1%EtOH,1
B4,NA,8,1%EtOH,1
B5,NA,6,1%EtOH,1
B6,NA,6,1%EtOH,1
B7,NA,6,water,1
B8,NA,4,water,1
B9,NA,9,water,1
B10,NA,10,water,1
B11,NA,7,water,1
C2,NA,10,PRE,1
C3,NA,12,PRE,1
C4,NA,10,PRE,1
C5,NA,7,PRE,1
C6,NA,4,PRE,1
C7,NA,14,Sol_8nM,1
C8,NA,11,Sol_8nM,1
C9,NA,5,Sol_8nM,1
C10,NA,10,Sol_8nM,1
C11,NA,2,Sol_8nM,1
D2,NA,12,solA4nM,1
D3,NA,10,solA4nM,1
D4,NA,10,solA4nM,1
D5,NA,14,solA4nM,1
D6,NA,8,solA4nM,1
D7,NA,9,solA2nM,1
D8,NA,9,solA2nM,1
D9,NA,9,solA2nM,1
D10,NA,12,solA2nM,1
D11,NA,7,solA2nM,1
E2,NA,14,solA1nM,1
E3,NA,7,solA1nM,1
E4,NA,10,solA1nM,1
E5,NA,9,solA1nM,1
E6,NA,14,solA1nM,1
E7,NA,7,solA0.5nM,1
E8,NA,12,solA0.5nM,1
E9,NA,5,solA0.5nM,1
E10,NA,8,solA0.5nM,1
E11,NA,18,solA0.5nM,1
F2,NA,8,TRE,1
F3,NA,14,TRE,1
F4,NA,12,TRE,1
F5,NA,8,TRE,1
F6,NA,13,TRE,1
B2,NA,13,1%EtOH,2
B3,NA,6,1%EtOH,2
B4,NA,8,1%EtOH,2
B5,NA,6,1%EtOH,2
B6,NA,6,1%EtOH,2
B7,NA,5,water,2
B8,NA,4,water,2
B9,NA,10,water,2
B10,NA,10,water,2
B11,NA,7,water,2
C2,NA,10,PRE,2
C3,NA,12,PRE,2
C4,NA,12,PRE,2
C5,NA,7,PRE,2
C6,NA,8,PRE,2
C7,NA,15,Sol_8nM,2
C8,NA,12,Sol_8nM,2
C9,NA,5,Sol_8nM,2
C10,NA,11,Sol_8nM,2
C11,NA,4,Sol_8nM,2
D2,NA,13,solA4nM,2
D3,NA,13,solA4nM,2
D4,NA,11,solA4nM,2
D5,NA,16,solA4nM,2
D6,NA,10,solA4nM,2
D7,NA,13,solA2nM,2
D8,NA,9,solA2nM,2
D9,NA,12,solA2nM,2
D10,NA,14,solA2nM,2
D11,NA,10,solA2nM,2
E2,NA,16,solA1nM,2
E3,NA,9,solA1nM,2
E4,NA,11,solA1nM,2
E5,NA,14,solA1nM,2
E6,NA,14,solA1nM,2
E7,NA,7,solA0.5nM,2
E8,NA,13,solA0.5nM,2
E9,NA,6,solA0.5nM,2
E10,NA,13,solA0.5nM,2
E11,NA,20,solA0.5nM,2
F2,NA,14,TRE,2
F3,NA,20,TRE,2
F4,NA,15,TRE,2
F5,NA,11,TRE,2
F6,NA,17,TRE,2
B2,NA,13,1%EtOH,3
B3,NA,6,1%EtOH,3
B4,NA,9,1%EtOH,3
B5,NA,6,1%EtOH,3
B6,NA,6,1%EtOH,3
B7,NA,6,water,3
B8,NA,5,water,3
B9,NA,9,water,3
B10,NA,9,water,3
B11,NA,7,water,3
C2,NA,14,PRE,3
C3,NA,21,PRE,3
C4,NA,19,PRE,3
C5,NA,16,PRE,3
C6,NA,6,PRE,3
C7,NA,19,Sol_8nM,3
C8,NA,13,Sol_8nM,3
C9,NA,8,Sol_8nM,3
C10,NA,14,Sol_8nM,3
C11,NA,6,Sol_8nM,3
D2,NA,17,solA4nM,3
D3,NA,16,solA4nM,3
D4,NA,11,solA4nM,3
D5,NA,21,solA4nM,3
D6,NA,13,solA4nM,3
D7,NA,16,solA2nM,3
D8,NA,9,solA2nM,3
D9,NA,14,solA2nM,3
D10,NA,16,solA2nM,3
D11,NA,12,solA2nM,3
E2,NA,22,solA1nM,3
E3,NA,11,solA1nM,3
E4,NA,12,solA1nM,3
E5,NA,15,solA1nM,3
E6,NA,18,solA1nM,3
E7,NA,10,solA0.5nM,3
E8,NA,14,solA0.5nM,3
E9,NA,9,solA0.5nM,3
E10,NA,13,solA0.5nM,3
E11,NA,23,solA0.5nM,3
F2,NA,19,TRE,3
F3,NA,25,TRE,3
F4,NA,27,TRE,3
F5,NA,16,TRE,3
F6,NA,19,TRE,3
B2,NA,16,1%EtOH,5
B3,NA,6,1%EtOH,5
B4,NA,10,1%EtOH,5
B5,NA,6,1%EtOH,5
B6,NA,6,1%EtOH,5
B7,NA,7,water,5
B8,NA,6,water,5
B9,NA,11,water,5
B10,NA,12,water,5
B11,NA,8,water,5
C2,NA,24,PRE,5
C3,NA,34,PRE,5
C4,NA,36,PRE,5
C5,NA,34,PRE,5
C6,NA,24,PRE,5
C7,NA,27,Sol_8nM,5
C8,NA,22,Sol_8nM,5
C9,NA,19,Sol_8nM,5
C10,NA,22,Sol_8nM,5
C11,NA,20,Sol_8nM,5
D2,NA,26,solA4nM,5
D3,NA,29,solA4nM,5
D4,NA,24,solA4nM,5
D5,NA,44,solA4nM,5
D6,NA,24,solA4nM,5
D7,NA,27,solA2nM,5
D8,NA,17,solA2nM,5
D9,NA,23,solA2nM,5
D10,NA,28,solA2nM,5
D11,NA,31,solA2nM,5
E2,NA,32,solA1nM,5
E3,NA,19,solA1nM,5
E4,NA,18,solA1nM,5
E5,NA,22,solA1nM,5
E6,NA,31,solA1nM,5
E7,NA,13,solA0.5nM,5
E8,NA,23,solA0.5nM,5
E9,NA,16,solA0.5nM,5
E10,NA,18,solA0.5nM,5
E11,NA,40,solA0.5nM,5
F2,NA,31,TRE,5
F3,NA,44,TRE,5
F4,NA,38,TRE,5
F5,NA,26,TRE,5
F6,NA,35,TRE,5
B2,NA,14,1%EtOH,7
B3,NA,6,1%EtOH,7
B4,NA,10,1%EtOH,7
B5,NA,7,1%EtOH,7
B6,NA,7,1%EtOH,7
B7,NA,9,water,7
B8,NA,7,water,7
B9,NA,12,water,7
B10,NA,11,water,7
B11,NA,9,water,7
C2,NA,30,PRE,7
C3,NA,44,PRE,7
C4,NA,45,PRE,7
C5,NA,44,PRE,7
C6,NA,29,PRE,7
C7,NA,34,Sol_8nM,7
C8,NA,30,Sol_8nM,7
C9,NA,26,Sol_8nM,7
C10,NA,26,Sol_8nM,7
C11,NA,29,Sol_8nM,7
D2,NA,29,solA4nM,7
D3,NA,42,solA4nM,7
D4,NA,38,solA4nM,7
D5,NA,54,solA4nM,7
D6,NA,32,solA4nM,7
D7,NA,32,solA2nM,7
D8,NA,27,solA2nM,7
D9,NA,26,solA2nM,7
D10,NA,37,solA2nM,7
D11,NA,40,solA2nM,7
E2,NA,39,solA1nM,7
E3,NA,22,solA1nM,7
E4,NA,23,solA1nM,7
E5,NA,31,solA1nM,7
E6,NA,37,solA1nM,7
E7,NA,14,solA0.5nM,7
E8,NA,23,solA0.5nM,7
E9,NA,20,solA0.5nM,7
E10,NA,23,solA0.5nM,7
E11,NA,46,solA0.5nM,7
F2,NA,35,TRE,7
F3,NA,47,TRE,7
F4,NA,45,TRE,7
F5,NA,27,TRE,7
F6,NA,38,TRE,7
B2,NA,15,1%EtOH,10
B3,NA,8,1%EtOH,10
B4,NA,12,1%EtOH,10
B5,NA,8,1%EtOH,10
B6,NA,8,1%EtOH,10
B7,NA,7,water,10
B8,NA,8,water,10
B9,NA,12,water,10
B10,NA,12,water,10
B11,NA,10,water,10
C2,NA,32,PRE,10
C3,NA,43,PRE,10
C4,NA,48,PRE,10
C5,NA,43,PRE,10
C6,NA,32,PRE,10
C7,NA,40,Sol_8nM,10
C8,NA,34,Sol_8nM,10
C9,NA,31,Sol_8nM,10
C10,NA,28,Sol_8nM,10
C11,NA,32,Sol_8nM,10
D2,NA,33,solA4nM,10
D3,NA,44,solA4nM,10
D4,NA,40,solA4nM,10
D5,NA,62,solA4nM,10
D6,NA,37,solA4nM,10
D7,NA,36,solA2nM,10
D8,NA,30,solA2nM,10
D9,NA,26,solA2nM,10
D10,NA,44,solA2nM,10
D11,NA,45,solA2nM,10
E2,NA,37,solA1nM,10
E3,NA,30,solA1nM,10
E4,NA,28,solA1nM,10
E5,NA,37,solA1nM,10
E6,NA,42,solA1nM,10
E7,NA,17,solA0.5nM,10
E8,NA,32,solA0.5nM,10
E9,NA,28,solA0.5nM,10
E10,NA,25,solA0.5nM,10
E11,NA,46,solA0.5nM,10
F2,NA,41,TRE,10
F3,NA,46,TRE,10
F4,NA,52,TRE,10
F5,NA,30,TRE,10
F6,NA,47,TRE,10
B2,NA,14,1%EtOH,14
B3,NA,9,1%EtOH,14
B4,NA,12,1%EtOH,14
B5,NA,8,1%EtOH,14
B6,NA,8,1%EtOH,14
B7,NA,8,water,14
B8,NA,8,water,14
B9,NA,11,water,14
B10,NA,15,water,14
B11,NA,10,water,14
C2,NA,32,PRE,14
C3,NA,45,PRE,14
C4,NA,49,PRE,14
C5,NA,47,PRE,14
C6,NA,29,PRE,14
C7,NA,44,Sol_8nM,14
C8,NA,37,Sol_8nM,14
C9,NA,36,Sol_8nM,14
C10,NA,30,Sol_8nM,14
C11,NA,35,Sol_8nM,14
D2,NA,34,solA4nM,14
D3,NA,46,solA4nM,14
D4,NA,42,solA4nM,14
D5,NA,62,solA4nM,14
D6,NA,45,solA4nM,14
D7,NA,40,solA2nM,14
D8,NA,34,solA2nM,14
D9,NA,29,solA2nM,14
D10,NA,45,solA2nM,14
D11,NA,43,solA2nM,14
E2,NA,44,solA1nM,14
E3,NA,31,solA1nM,14
E4,NA,29,solA1nM,14
E5,NA,37,solA1nM,14
E6,NA,41,solA1nM,14
E7,NA,21,solA0.5nM,14
E8,NA,34,solA0.5nM,14
E9,NA,32,solA0.5nM,14
E10,NA,27,solA0.5nM,14
E11,NA,51,solA0.5nM,14
F2,NA,42,TRE,14
F3,NA,49,TRE,14
F4,NA,55,TRE,14
F5,NA,36,TRE,14
F6,NA,46,TRE,14
B2,NA,15,1%EtOH,17
B3,NA,8,1%EtOH,17
B4,NA,12,1%EtOH,17
B5,NA,7,1%EtOH,17
B6,NA,8,1%EtOH,17
B7,NA,8,water,17
B8,NA,9,water,17
B9,NA,14,water,17
B10,NA,16,water,17
B11,NA,11,water,17
C2,NA,30,PRE,17
C3,NA,46,PRE,17
C4,NA,49,PRE,17
C5,NA,44,PRE,17
C6,NA,30,PRE,17
C7,NA,45,Sol_8nM,17
C8,NA,40,Sol_8nM,17
C9,NA,37,Sol_8nM,17
C10,NA,32,Sol_8nM,17
C11,NA,39,Sol_8nM,17
D2,NA,35,solA4nM,17
D3,NA,46,solA4nM,17
D4,NA,41,solA4nM,17
D5,NA,66,solA4nM,17
D6,NA,45,solA4nM,17
D7,NA,41,solA2nM,17
D8,NA,33,solA2nM,17
D9,NA,28,solA2nM,17
D10,NA,48,solA2nM,17
D11,NA,43,solA2nM,17
E2,NA,45,solA1nM,17
E3,NA,29,solA1nM,17
E4,NA,28,solA1nM,17
E5,NA,38,solA1nM,17
E6,NA,42,solA1nM,17
E7,NA,24,solA0.5nM,17
E8,NA,36,solA0.5nM,17
E9,NA,32,solA0.5nM,17
E10,NA,30,solA0.5nM,17
E11,NA,52,solA0.5nM,17
F2,NA,40,TRE,17
F3,NA,49,TRE,17
F4,NA,55,TRE,17
F5,NA,38,TRE,17
F6,NA,49,TRE,17
B2,NA,13,1%EtOH,20
B3,NA,7,1%EtOH,20
B4,NA,12,1%EtOH,20
B5,NA,6,1%EtOH,20
B6,NA,7,1%EtOH,20
B7,NA,8,water,20
B8,NA,9,water,20
B9,NA,14,water,20
B10,NA,14,water,20
B11,NA,11,water,20
C2,NA,32,PRE,20
C3,NA,43,PRE,20
C4,NA,48,PRE,20
C5,NA,45,PRE,20
C6,NA,30,PRE,20
C7,NA,46,Sol_8nM,20
C8,NA,39,Sol_8nM,20
C9,NA,37,Sol_8nM,20
C10,NA,35,Sol_8nM,20
C11,NA,40,Sol_8nM,20
D2,NA,34,solA4nM,20
D3,NA,46,solA4nM,20
D4,NA,39,solA4nM,20
D5,NA,67,solA4nM,20
D6,NA,45,solA4nM,20
D7,NA,42,solA2nM,20
D8,NA,35,solA2nM,20
D9,NA,29,solA2nM,20
D10,NA,46,solA2nM,20
D11,NA,44,solA2nM,20
E2,NA,44,solA1nM,20
E3,NA,32,solA1nM,20
E4,NA,28,solA1nM,20
E5,NA,38,solA1nM,20
E6,NA,41,solA1nM,20
E7,NA,24,solA0.5nM,20
E8,NA,34,solA0.5nM,20
E9,NA,32,solA0.5nM,20
E10,NA,30,solA0.5nM,20
E11,NA,54,solA0.5nM,20
F2,NA,43,TRE,20
F3,NA,51,TRE,20
F4,NA,52,TRE,20
F5,NA,37,TRE,20
F6,NA,48,TRE,20
